faq_id,scope,question_en,question_hi_latn,answer_en,answer_hi_latn,paraphrases_en,paraphrases_hi_latn
FAQ_L001,clip,Why am I being offered a higher limit?,Mujhe zyada limit kyun offer ho rahi hai?,The offer is based on how your card account has been used. Our advisor can tell you more.,Yeh offer aapke card account ke usage ke aadhaar par hai. Hamare advisor aur bata sakte hain.,why me|how did you decide this|who selected me,mujhe hi kyun|yeh kaise decide hua
FAQ_L002,clip,Is there a fee for increasing the limit?,Limit badhane ki koi fee hai?,There is no separate charge for the limit increase itself.,Limit badhane ka koi alag charge nahi hai.,do I pay for this|any charges for the increase,iska koi charge hai kya
FAQ_L003,clip,Will this affect my credit score?,Kya isse mera credit score prabhavit hoga?,Credit bureaus consider many factors. Our advisor can explain how a limit revision is reported.,Credit bureaus kai factors dekhte hain. Hamare advisor samjha sakte hain ki limit revision kaise report hota hai.,does it hurt my CIBIL|will my score go down,CIBIL par asar padega kya|score kam hoga kya
FAQ_L004,clip,How long will it take to reflect?,Kitne time mein reflect hoga?,Our advisor will confirm the timeline once your request is raised.,Request raise hone ke baad hamare advisor timeline confirm karenge.,when will the new limit be active|how soon can I use it,nayi limit kab active hogi
FAQ_L005,clip,Can I reduce the limit later?,Kya main baad mein limit kam kara sakta hoon?,You can request a change later. Our advisor can explain how.,Aap baad mein change request kar sakte hain. Hamare advisor tarika bata sakte hain.,can I go back to the old limit|is it reversible,purani limit par wapas ja sakte hain kya
FAQ_L006,clip,Do I have to use the extra limit?,Kya mujhe extra limit use karni hi hogi?,"No. A higher limit is available to you, not something you must use.","Nahi. Zyada limit aapke liye available hoti hai, use karna zaroori nahi hai.",what if I don't use it|is there a minimum spend,agar use na karoon to|minimum kharch zaroori hai kya
FAQ_L007,clip,Do I need to submit documents?,Kya documents dene honge?,Our advisor will confirm whether anything is needed for your account.,Hamare advisor confirm karenge ki aapke account ke liye kuch chahiye ya nahi.,do you need income proof|what paperwork,income proof chahiye kya
FAQ_L008,clip,Can I choose how much the limit goes up by?,Kya main chun sakta hoon ki limit kitni badhe?,The offer on your account is {enhanced_limit} rupees. Our advisor can discuss your options.,Aapke account par offer {enhanced_limit} rupees ka hai. Hamare advisor aapke options discuss kar sakte hain.,can I ask for a different amount|I want a smaller increase,main kam badhwa sakta hoon kya
FAQ_L009,clip,Does my billing cycle change?,Kya mera billing cycle badlega?,A limit revision does not change your billing cycle.,Limit revision se aapka billing cycle nahi badalta.,will my due date change|does my statement date move,due date badlegi kya
FAQ_L010,clip,Will my interest rate change?,Kya mera interest rate badlega?,The rates on your card are governed by your card agreement and are not changed by this offer.,"Aapke card ke rates aapke card agreement se tay hote hain, aur is offer se nahi badalte.",does the rate go up with a higher limit,limit badhne se rate badhega kya
