node_id,product,kind,text_en,text_hi_latn,next,plays_disclosure,requires_disclosure,never_say,disposition,faq_scope,intent_set,max_visits,on_max_visits,escalate
N01_OPENING,flexipay,chain,"Hello, good day.",Namaste.,N02_CONFIRM_CARDHOLDER,D01_IDENTITY|D02_RECORDED_LINE,,,,,,,,
N02_CONFIRM_CARDHOLDER,flexipay,normal,Am I speaking with the holder of the {brand_name} credit card?,Kya main {brand_name} credit card holder se baat kar rahi hoon?,,,,,,common,CONFIRM_IDENTITY|AGREE|NOT_INTERESTED,,,
N03_PURPOSE,flexipay,chain,I am calling about an offer available on your card. It will take about a minute.,Main aapke card par available ek offer ke baare mein call kar rahi hoon. Sirf ek minute lagega.,N04_PITCH,,,,,,,,,
N04_PITCH,flexipay,normal,"You are eligible to convert purchases above {min_txn_amt} rupees into easy monthly instalments. On your card, up to {eligible_amount} rupees can be converted over {tenure_options}.","Aap {min_txn_amt} rupees se upar ke purchases ko aasaan monthly instalments mein convert kar sakte hain. Aapke card par {eligible_amount} rupees tak, {tenure_options} mein convert ho sakta hai.",,,D01_IDENTITY|D02_RECORDED_LINE,guaranteed approval|no interest|zero cost|free loan|pre-approved loan,,common|flexipay,INTERESTED|AGREE|NOT_INTERESTED|NEED_TIME|IS_THIS_GENUINE|HOW_DID_YOU_GET_NUMBER,,,
N05_TERMS,flexipay,chain,"At a tenure of {tenure_months} months, your indicative instalment would be about {indicative_emi} rupees per month.","{tenure_months} mahine ki tenure par, aapki indicative instalment lagbhag {indicative_emi} rupees monthly hogi.",N06_AGREEMENT_PROBE,D03_FLEXIPAY_TERMS,,,,,,,,
N06_AGREEMENT_PROBE,flexipay,normal,Shall I connect you to our advisor to take this forward?,"Kya main aapko hamare advisor se connect karoon, aage badhane ke liye?",,,D03_FLEXIPAY_TERMS,your loan is approved|the amount will be credited,,common|flexipay,AGREE|NOT_INTERESTED|NEED_TIME,,,
N07_PRE_TRANSFER,flexipay,chain,Thank you. Please stay on the line.,Dhanyavaad. Kripya line par bane rahiye.,N08_TRANSFER,D06_ADVISOR_HANDOFF,D03_FLEXIPAY_TERMS,,,,,,,
N08_TRANSFER,flexipay,transfer,,,,,,,AGREED_TRANSFERRED,,,,,
N09_TRANSFER_ESCALATED,flexipay,transfer,,,,,,,ESCALATED_TRANSFERRED,,,,,
N10_OBJECTION_NEED_TIME,flexipay,normal,"Of course. The offer is open for {offer_valid_days} days. Would you prefer that our advisor explains the details now, or should we call you back?","Bilkul. Yeh offer {offer_valid_days} din tak khula hai. Kya advisor abhi details samjhaayein, ya hum aapko baad mein call karein?",,,,,,common|flexipay,AGREE|NOT_INTERESTED,,,
N11_OBJECTION_TRUST,flexipay,normal,"That is a fair question. I am not asking for any card number, PIN or OTP, and I never will. You can also verify this offer on your {brand_name} app, or by calling the number printed on the back of your card. Shall I continue?","Yeh sahi sawaal hai. Main aapse koi card number, PIN ya OTP nahi maang rahi hoon, aur na hi kabhi maangungi. Aap yeh offer apne {brand_name} app par ya card ke peeche likhe number par bhi verify kar sakte hain. Kya main aage badhoon?",,,,,,common,AGREE|NOT_INTERESTED,,,
N12_HOW_GOT_NUMBER,flexipay,normal,"I am calling on the number registered with your {brand_name} card account. If you would prefer not to receive such calls, I can note that right away.","Main aapke {brand_name} card account par registered number par call kar rahi hoon. Agar aap aise calls nahi chahte, main abhi note kar sakti hoon.",,,,,,common,AGREE|NOT_INTERESTED,,,
N20_CALLBACK,flexipay,chain,Certainly. We will call you back at a more convenient time.,Zaroor. Hum aapko kisi convenient time par dobara call karenge.,N41_CLOSE_CALLBACK,,,,,,,,,
N30_WRONG_PERSON,flexipay,chain,I apologise for the inconvenience. I will update our records.,Asuvidha ke liye khed hai. Main hamare records update kar dungi.,N43_CLOSE_WRONG_PERSON,,,,,,,,,
N31_BUSY,flexipay,normal,I understand. May we call you back later today?,Main samajh sakti hoon. Kya hum aaj baad mein call karein?,,,,,,,AGREE|NOT_INTERESTED,,,
N50_SILENCE_REPROMPT,flexipay,normal,"I am sorry, I could not hear you. Are you still there?","Maaf kijiye, main aapko sun nahi paayi. Kya aap line par hain?",,,,,,,AGREE|NOT_INTERESTED,2,N45_CLOSE_SILENCE,
N90_HUMAN_HANDOFF,flexipay,chain,Certainly.,Zaroor.,N09_TRANSFER_ESCALATED,D06_ADVISOR_HANDOFF,,,,,,,,
N99_FALLBACK_TRANSFER,flexipay,chain,"That is a good question, and I would rather our advisor answer it properly for you.","Yeh accha sawaal hai, aur behtar hoga ki hamare advisor aapko iska sahi jawaab dein.",N09_TRANSFER_ESCALATED,D06_ADVISOR_HANDOFF,,,,,,,,
N40_CLOSE_NOT_INTERESTED,flexipay,terminal,"That is perfectly alright. Thank you for your time, and have a good day.","Koi baat nahi. Aapke time ke liye dhanyavaad, aapka din accha ho.",,,,,NOT_INTERESTED,,,,,
N41_CLOSE_CALLBACK,flexipay,terminal,Thank you. Have a good day.,Dhanyavaad. Aapka din accha ho.,,,,,CALLBACK_REQUESTED,,,,,
N42_CLOSE_DNC,flexipay,terminal,I have noted your request. You will not receive further promotional calls from us. Thank you.,Maine aapka request note kar liya hai. Aapko aage promotional calls nahi aayengi. Dhanyavaad.,,,,,DNC_REQUESTED,,,,,yes
N43_CLOSE_WRONG_PERSON,flexipay,terminal,"Thank you, and sorry for the disturbance.","Dhanyavaad, aur pareshaani ke liye khed hai.",,,,,WRONG_PERSON,,,,,
N44_CLOSE_ABUSIVE,flexipay,terminal,I am ending the call now. Thank you.,Main call ab end kar rahi hoon. Dhanyavaad.,,,,,ABUSIVE,,,,,yes
